County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,Data as of date
Autauga County,AL,152.14,26.3,91.8,2021-07-30
Baldwin County,AL,453.34,31.6,91.8,2021-07-30
Barbour County,AL,162.04,27.8,91.8,2021-07-30
Bibb County,AL,281.33,22.7,91.8,2021-07-30
Blount County,AL,181.58,19.4,91.8,2021-07-30
Bullock County,AL,suppressed,34.5,91.8,2021-07-30
Butler County,AL,185.11,26.7,91.8,2021-07-30
Calhoun County,AL,177.81,30.7,91.8,2021-07-30
Chambers County,AL,207.49,21.1,91.8,2021-07-30
Cherokee County,AL,137.43,22.6,91.8,2021-07-30
Chilton County,AL,144.05,22.1,91.8,2021-07-30
Choctaw County,AL,suppressed,41.3,91.8,2021-07-30
Clarke County,AL,220.13,31.4,91.8,2021-07-30
Clay County,AL,128.45,27.7,91.8,2021-07-30
Cleburne County,AL,120.72,21.2,91.8,2021-07-30
Coffee County,AL,311.41,24.8,91.8,2021-07-30
Colbert County,AL,157.49,34.1,91.8,2021-07-30
Conecuh County,AL,140.88,27.9,91.8,2021-07-30
Coosa County,AL,140.67,29.1,91.8,2021-07-30
Covington County,AL,321.20,23.6,91.8,2021-07-30
Crenshaw County,AL,145.22,24,91.8,2021-07-30
Cullman County,AL,180.26,26.3,91.8,2021-07-30
Dale County,AL,402.67,35.9,91.8,2021-07-30
Dallas County,AL,102.16,28,91.8,2021-07-30
DeKalb County,AL,190.18,21.2,91.8,2021-07-30
Elmore County,AL,181.01,29.3,91.8,2021-07-30
Escambia County,AL,316.65,22.3,91.8,2021-07-30
Etowah County,AL,188.72,27.1,91.8,2021-07-30
Fayette County,AL,67.48,24.1,91.8,2021-07-30
Franklin County,AL,280.59,29.2,91.8,2021-07-30
Geneva County,AL,277.87,25.8,91.8,2021-07-30
Greene County,AL,271.24,33.5,91.8,2021-07-30
Hale County,AL,102.38,41.8,91.8,2021-07-30
Henry County,AL,290.61,30.5,91.8,2021-07-30
Houston County,AL,380.61,28.7,91.8,2021-07-30
Jackson County,AL,166.58,32.1,91.8,2021-07-30
Jefferson County,AL,175.99,40.2,91.8,2021-07-30
Lamar County,AL,suppressed,30,91.8,2021-07-30
Lauderdale County,AL,177.94,33.6,91.8,2021-07-30
Lawrence County,AL,127.57,32.4,91.8,2021-07-30
Lee County,AL,137.96,28.9,91.8,2021-07-30
Limestone County,AL,137.49,25.5,91.8,2021-07-30
Lowndes County,AL,suppressed,32.3,91.8,2021-07-30
Macon County,AL,83.02,32.5,91.8,2021-07-30
Madison County,AL,118.80,43.7,91.8,2021-07-30
Marengo County,AL,127.23,35.5,91.8,2021-07-30
Marion County,AL,188.50,24.7,91.8,2021-07-30
Marshall County,AL,188.07,28.8,91.8,2021-07-30
Mobile County,AL,467.80,31.3,91.8,2021-07-30
Monroe County,AL,303.86,27.1,91.8,2021-07-30
Montgomery County,AL,122.74,35.6,91.8,2021-07-30
Morgan County,AL,94.42,30.7,91.8,2021-07-30
Perry County,AL,suppressed,32.7,91.8,2021-07-30
Pickens County,AL,50.18,31.8,91.8,2021-07-30
Pike County,AL,126.83,27.5,91.8,2021-07-30
Randolph County,AL,149.63,23.4,91.8,2021-07-30
Russell County,AL,103.52,25.6,91.8,2021-07-30
St. Clair County,AL,165.34,25.8,91.8,2021-07-30
Shelby County,AL,189.25,24.2,91.8,2021-07-30
Sumter County,AL,96.56,33,91.8,2021-07-30
Talladega County,AL,162.54,24.9,91.8,2021-07-30
Tallapoosa County,AL,193.23,28,91.8,2021-07-30
Tuscaloosa County,AL,118.46,30.5,91.8,2021-07-30
Walker County,AL,181.04,31.9,91.8,2021-07-30
Washington County,AL,306.26,26.8,91.8,2021-07-30
Wilcox County,AL,163.89,34.5,91.8,2021-07-30
Winston County,AL,207.37,14.7,91.8,2021-07-30
Aleutians East Borough,AK,suppressed,66.2,96.9,2021-07-30
Aleutians West Census Area,AK,727.72,51.5,96.9,2021-07-30
Anchorage Municipality,AK,228.47,47.3,96.9,2021-07-30
Bethel Census Area,AK,288.26,51.7,96.9,2021-07-30
Bristol Bay Borough,AK,0.00,87.2,96.9,2021-07-30
Denali Borough,AK,suppressed,42.6,96.9,2021-07-30
Dillingham Census Area,AK,suppressed,39.6,96.9,2021-07-30
Fairbanks North Star Borough,AK,102.22,41.4,96.9,2021-07-30
Haines Borough,AK,0.00,59.1,96.9,2021-07-30
Hoonah-Angoon Census Area,AK,suppressed,61.5,96.9,2021-07-30
Juneau City and Borough,AK,290.86,61.5,96.9,2021-07-30
Kenai Peninsula Borough,AK,356.00,37.2,96.9,2021-07-30
Ketchikan Gateway Borough,AK,201.42,52.9,96.9,2021-07-30
Kodiak Island Borough,AK,323.13,50.7,96.9,2021-07-30
Kusilvak Census Area,AK,252.59,53.4,96.9,2021-07-30
Lake and Peninsula Borough,AK,suppressed,48.6,96.9,2021-07-30
Matanuska-Susitna Borough,AK,125.56,28.5,96.9,2021-07-30
Nome Census Area,AK,suppressed,57.9,96.9,2021-07-30
North Slope Borough,AK,111.88,29.6,96.9,2021-07-30
Northwest Arctic Borough,AK,suppressed,44.3,96.9,2021-07-30
Petersburg Census Area,AK,0.00,62.6,96.9,2021-07-30
Prince of Wales-Hyder Census Area,AK,354.67,45.1,96.9,2021-07-30
Sitka City and Borough,AK,2072.29,63.3,96.9,2021-07-30
Skagway Municipality,AK,suppressed,62.8,96.9,2021-07-30
Southeast Fairbanks Census Area,AK,217.61,23.7,96.9,2021-07-30
Wrangell City and Borough,AK,suppressed,49,96.9,2021-07-30
Yakutat City and Borough,AK,0.00,65.3,96.9,2021-07-30
Yukon-Koyukuk Census Area,AK,suppressed,56.6,96.9,2021-07-30
Apache County,AZ,102.94,60.2,97.5,2021-07-30
Cochise County,AZ,38.91,47.1,97.5,2021-07-30
Coconino County,AZ,120.58,57,97.5,2021-07-30
Gila County,AZ,157.35,45.8,97.5,2021-07-30
Graham County,AZ,102.99,45,97.5,2021-07-30
Greenlee County,AZ,115.81,31.5,97.5,2021-07-30
La Paz County,AZ,175.29,37.1,97.5,2021-07-30
Maricopa County,AZ,169.66,42.2,97.5,2021-07-30
Mohave County,AZ,231.88,31,97.5,2021-07-30
Navajo County,AZ,154.16,49.9,97.5,2021-07-30
Pima County,AZ,74.29,52.6,97.5,2021-07-30
Pinal County,AZ,210.46,38.5,97.5,2021-07-30
Santa Cruz County,AZ,88.18,77.8,97.5,2021-07-30
Yavapai County,AZ,168.01,35.8,97.5,2021-07-30
Yuma County,AZ,50.05,49.2,97.5,2021-07-30
Arkansas County,AR,703.42,37.1,89.3,2021-07-30
Ashley County,AR,274.71,33,89.3,2021-07-30
Baxter County,AR,651.05,33.9,89.3,2021-07-30
Benton County,AR,353.94,36,89.3,2021-07-30
Boone County,AR,566.36,25,89.3,2021-07-30
Bradley County,AR,278.73,39.1,89.3,2021-07-30
Calhoun County,AR,327.62,23.4,89.3,2021-07-30
Carroll County,AR,412.26,30.1,89.3,2021-07-30
Chicot County,AR,217.43,38.4,89.3,2021-07-30
Clark County,AR,322.58,34.2,89.3,2021-07-30
Clay County,AR,240.53,32.5,89.3,2021-07-30
Cleburne County,AR,670.17,31.4,89.3,2021-07-30
Cleveland County,AR,477.63,34.4,89.3,2021-07-30
Columbia County,AR,272.84,30.4,89.3,2021-07-30
Conway County,AR,340.59,38.5,89.3,2021-07-30
Craighead County,AR,486.71,28.2,89.3,2021-07-30
Crawford County,AR,275.07,27.9,89.3,2021-07-30
Crittenden County,AR,239.81,27.2,89.3,2021-07-30
Cross County,AR,456.79,32.6,89.3,2021-07-30
Dallas County,AR,513.63,38.2,89.3,2021-07-30
Desha County,AR,299.27,39.2,89.3,2021-07-30
Drew County,AR,367.75,32.2,89.3,2021-07-30
Faulkner County,AR,506.32,34.1,89.3,2021-07-30
Franklin County,AR,299.18,33.1,89.3,2021-07-30
Fulton County,AR,424.78,22.5,89.3,2021-07-30
Garland County,AR,577.55,31.4,89.3,2021-07-30
Grant County,AR,591.29,30.6,89.3,2021-07-30
Greene County,AR,467.73,28.8,89.3,2021-07-30
Hempstead County,AR,287.94,19.8,89.3,2021-07-30
Hot Spring County,AR,698.82,29,89.3,2021-07-30
Howard County,AR,378.73,31.8,89.3,2021-07-30
Independence County,AR,430.93,26.4,89.3,2021-07-30
Izard County,AR,425.56,25.3,89.3,2021-07-30
Jackson County,AR,287.10,26.2,89.3,2021-07-30
Jefferson County,AR,487.85,26.8,89.3,2021-07-30
Johnson County,AR,364.96,31.4,89.3,2021-07-30
Lafayette County,AR,332.13,24.9,89.3,2021-07-30
Lawrence County,AR,201.15,29,89.3,2021-07-30
Lee County,AR,237.10,23.6,89.3,2021-07-30
Lincoln County,AR,322.48,23.3,89.3,2021-07-30
Little River County,AR,212.09,20.2,89.3,2021-07-30
Logan County,AR,423.93,30.6,89.3,2021-07-30
Lonoke County,AR,537.45,32.2,89.3,2021-07-30
Madison County,AR,289.58,27.6,89.3,2021-07-30
Marion County,AR,605.01,24.8,89.3,2021-07-30
Miller County,AR,233.49,9,89.3,2021-07-30
Mississippi County,AR,199.26,26.4,89.3,2021-07-30
Monroe County,AR,253.69,36.5,89.3,2021-07-30
Montgomery County,AR,289.34,27.5,89.3,2021-07-30
Nevada County,AR,230.25,23.8,89.3,2021-07-30
Newton County,AR,748.10,22.7,89.3,2021-07-30
Ouachita County,AR,286.55,35.4,89.3,2021-07-30
Perry County,AR,650.41,35.7,89.3,2021-07-30
Phillips County,AR,674.84,31.5,89.3,2021-07-30
Pike County,AR,531.82,27.1,89.3,2021-07-30
Poinsett County,AR,420.78,27.5,89.3,2021-07-30
Polk County,AR,290.52,22.8,89.3,2021-07-30
Pope County,AR,341.80,33.8,89.3,2021-07-30
Prairie County,AR,372.12,28,89.3,2021-07-30
Pulaski County,AR,485.06,41.5,89.3,2021-07-30
Randolph County,AR,228.31,25.7,89.3,2021-07-30
St. Francis County,AR,312.07,31.7,89.3,2021-07-30
Saline County,AR,490.86,34.4,89.3,2021-07-30
Scott County,AR,223.71,26.4,89.3,2021-07-30
Searcy County,AR,761.32,27.3,89.3,2021-07-30
Sebastian County,AR,351.26,27.5,89.3,2021-07-30
Sevier County,AR,188.16,28.1,89.3,2021-07-30
Sharp County,AR,613.46,26.7,89.3,2021-07-30
Stone County,AR,543.74,28.8,89.3,2021-07-30
Union County,AR,214.57,31.3,89.3,2021-07-30
Van Buren County,AR,344.51,30.8,89.3,2021-07-30
Washington County,AR,369.17,37,89.3,2021-07-30
White County,AR,509.19,30.4,89.3,2021-07-30
Woodruff County,AR,332.28,38.8,89.3,2021-07-30
Yell County,AR,276.46,31.3,89.3,2021-07-30
Alameda County,CA,112.07,64.5,97.3,2021-07-30
Alpine County,CA,0.00,N/A,0,2021-07-30
Amador County,CA,153.45,39.5,97.3,2021-07-30
Butte County,CA,115.43,40.2,97.3,2021-07-30
Calaveras County,CA,76.24,39.1,97.3,2021-07-30
Colusa County,CA,83.54,41.8,97.3,2021-07-30
Contra Costa County,CA,200.00,63.6,97.3,2021-07-30
Del Norte County,CA,409.90,29.6,97.3,2021-07-30
El Dorado County,CA,166.46,49.7,97.3,2021-07-30
Fresno County,CA,100.29,42.6,97.3,2021-07-30
Glenn County,CA,suppressed,39.5,97.3,2021-07-30
Humboldt County,CA,160.08,50.8,97.3,2021-07-30
Imperial County,CA,92.71,56.6,97.3,2021-07-30
Inyo County,CA,110.87,N/A,0,2021-07-30
Kern County,CA,99.76,35.2,97.3,2021-07-30
Kings County,CA,175.89,29.8,97.3,2021-07-30
Lake County,CA,427.11,43.9,97.3,2021-07-30
Lassen County,CA,42.52,26.9,97.3,2021-07-30
Los Angeles County,CA,179.01,53.5,97.3,2021-07-30
Madera County,CA,109.96,37.3,97.3,2021-07-30
Marin County,CA,100.45,73.3,97.3,2021-07-30
Mariposa County,CA,87.19,N/A,0,2021-07-30
Mendocino County,CA,160.23,51.5,97.3,2021-07-30
Merced County,CA,129.65,31.2,97.3,2021-07-30
Modoc County,CA,suppressed,N/A,0,2021-07-30
Mono County,CA,83.08,N/A,0,2021-07-30
Monterey County,CA,52.30,51.8,97.3,2021-07-30
Napa County,CA,108.17,61.4,97.3,2021-07-30
Nevada County,CA,207.51,48.9,97.3,2021-07-30
Orange County,CA,116.70,55.5,97.3,2021-07-30
Placer County,CA,154.65,51.5,97.3,2021-07-30
Plumas County,CA,suppressed,N/A,0,2021-07-30
Riverside County,CA,163.28,41.9,97.3,2021-07-30
Sacramento County,CA,182.73,49.4,97.3,2021-07-30
San Benito County,CA,84.38,46.4,97.3,2021-07-30
San Bernardino County,CA,123.57,40.2,97.3,2021-07-30
San Diego County,CA,171.34,43.7,97.3,2021-07-30
San Francisco County,CA,165.39,69.1,97.3,2021-07-30
San Joaquin County,CA,115.59,39.2,97.3,2021-07-30
San Luis Obispo County,CA,89.36,46.8,97.3,2021-07-30
San Mateo County,CA,96.79,67.3,97.3,2021-07-30
Santa Barbara County,CA,109.07,53.9,97.3,2021-07-30
Santa Clara County,CA,84.91,68.8,97.3,2021-07-30
Santa Cruz County,CA,60.03,60.9,97.3,2021-07-30
Shasta County,CA,132.72,35.4,97.3,2021-07-30
Sierra County,CA,suppressed,N/A,0,2021-07-30
Siskiyou County,CA,66.61,41.5,97.3,2021-07-30
Solano County,CA,181.17,49,97.3,2021-07-30
Sonoma County,CA,140.19,61.5,97.3,2021-07-30
Stanislaus County,CA,158.72,35.6,97.3,2021-07-30
Sutter County,CA,221.72,41.5,97.3,2021-07-30
Tehama County,CA,86.04,28.8,97.3,2021-07-30
Trinity County,CA,89.54,N/A,0,2021-07-30
Tulare County,CA,65.42,35.4,97.3,2021-07-30
Tuolumne County,CA,350.60,43.1,97.3,2021-07-30
Ventura County,CA,105.67,55.6,97.3,2021-07-30
Yolo County,CA,131.07,54.2,97.3,2021-07-30
Yuba County,CA,204.66,33.9,97.3,2021-07-30
Adams County,CO,98.76,39.2,76.5,2021-07-30
Alamosa County,CO,80.08,31.5,76.5,2021-07-30
Arapahoe County,CO,87.12,40.6,76.5,2021-07-30
Archuleta County,CO,185.33,29.4,76.5,2021-07-30
Baca County,CO,suppressed,17.3,76.5,2021-07-30
Bent County,CO,0.00,11.1,76.5,2021-07-30
Boulder County,CO,93.81,50.5,76.5,2021-07-30
Broomfield County,CO,97.92,50.7,76.5,2021-07-30
Chaffee County,CO,122.81,32.3,76.5,2021-07-30
Cheyenne County,CO,0.00,13.2,76.5,2021-07-30
Clear Creek County,CO,134.02,28.4,76.5,2021-07-30
Conejos County,CO,suppressed,28.2,76.5,2021-07-30
Costilla County,CO,suppressed,33.9,76.5,2021-07-30
Crowley County,CO,suppressed,10.9,76.5,2021-07-30
Custer County,CO,suppressed,24.6,76.5,2021-07-30
Delta County,CO,89.85,28,76.5,2021-07-30
Denver County,CO,95.98,46.4,76.5,2021-07-30
Dolores County,CO,suppressed,22,76.5,2021-07-30
Douglas County,CO,86.86,47.9,76.5,2021-07-30
Eagle County,CO,96.14,46.1,76.5,2021-07-30
Elbert County,CO,112.24,24.5,76.5,2021-07-30
El Paso County,CO,129.23,40.4,76.5,2021-07-30
Fremont County,CO,64.80,25.4,76.5,2021-07-30
Garfield County,CO,109.89,32.6,76.5,2021-07-30
Gilpin County,CO,suppressed,40.4,76.5,2021-07-30
Grand County,CO,suppressed,42.2,76.5,2021-07-30
Gunnison County,CO,108.81,37.8,76.5,2021-07-30
Hinsdale County,CO,suppressed,30.2,76.5,2021-07-30
Huerfano County,CO,suppressed,29.8,76.5,2021-07-30
Jackson County,CO,0.00,23.2,76.5,2021-07-30
Jefferson County,CO,90.76,50,76.5,2021-07-30
Kiowa County,CO,0.00,13.2,76.5,2021-07-30
Kit Carson County,CO,suppressed,20.1,76.5,2021-07-30
Lake County,CO,suppressed,37.9,76.5,2021-07-30
La Plata County,CO,85.38,46.3,76.5,2021-07-30
Larimer County,CO,104.23,44.5,76.5,2021-07-30
Las Animas County,CO,220.60,32.3,76.5,2021-07-30
Lincoln County,CO,suppressed,17.8,76.5,2021-07-30
Logan County,CO,suppressed,19.7,76.5,2021-07-30
Mesa County,CO,134.23,30.1,76.5,2021-07-30
Mineral County,CO,suppressed,41.2,76.5,2021-07-30
Moffat County,CO,248.44,21,76.5,2021-07-30
Montezuma County,CO,84.02,35.7,76.5,2021-07-30
Montrose County,CO,166.05,30.1,76.5,2021-07-30
Morgan County,CO,suppressed,27.5,76.5,2021-07-30
Otero County,CO,suppressed,25.2,76.5,2021-07-30
Ouray County,CO,suppressed,41.9,76.5,2021-07-30
Park County,CO,68.98,30.5,76.5,2021-07-30
Phillips County,CO,suppressed,26.7,76.5,2021-07-30
Pitkin County,CO,180.11,43.6,76.5,2021-07-30
Prowers County,CO,90.37,22.4,76.5,2021-07-30
Pueblo County,CO,74.22,31.2,76.5,2021-07-30
Rio Blanco County,CO,268.82,17.1,76.5,2021-07-30
Rio Grande County,CO,106.51,36.8,76.5,2021-07-30
Routt County,CO,117.01,48.7,76.5,2021-07-30
Saguache County,CO,suppressed,16.9,76.5,2021-07-30
San Juan County,CO,0.00,42.7,76.5,2021-07-30
San Miguel County,CO,suppressed,56.6,76.5,2021-07-30
Sedgwick County,CO,suppressed,22.2,76.5,2021-07-30
Summit County,CO,277.32,56.7,76.5,2021-07-30
Teller County,CO,129.98,27.7,76.5,2021-07-30
Washington County,CO,0.00,16.9,76.5,2021-07-30
Weld County,CO,103.85,34.7,76.5,2021-07-30
Yuma County,CO,suppressed,20.2,76.5,2021-07-30
Fairfield County,CT,61.06,64.4,98.4,2021-07-30
Hartford County,CT,67.29,60.9,98.4,2021-07-30
Litchfield County,CT,38.82,62.8,98.4,2021-07-30
Middlesex County,CT,52.33,69.7,98.4,2021-07-30
New Haven County,CT,71.60,61.5,98.4,2021-07-30
New London County,CT,63.35,63.6,98.4,2021-07-30
Tolland County,CT,60.38,56.1,98.4,2021-07-30
Windham County,CT,73.64,51.2,98.4,2021-07-30
Kent County,DE,58.63,40.6,96.1,2021-07-30
New Castle County,DE,64.25,52.8,96.1,2021-07-30
Sussex County,DE,73.01,53.1,96.1,2021-07-30
District of Columbia,DC,60.22,51.8,94.8,2021-07-30
Alachua County,FL,404.02,51.3,98.6,2021-07-30
Baker County,FL,777.13,20.5,98.6,2021-07-30
Bay County,FL,807.07,34.3,98.6,2021-07-30
Bradford County,FL,734.02,28,98.6,2021-07-30
Brevard County,FL,584.61,47.8,98.6,2021-07-30
Broward County,FL,465.03,51.5,98.6,2021-07-30
Calhoun County,FL,694.79,24.2,98.6,2021-07-30
Charlotte County,FL,295.38,52.5,98.6,2021-07-30
Citrus County,FL,437.00,44.7,98.6,2021-07-30
Clay County,FL,724.28,32.9,98.6,2021-07-30
Collier County,FL,373.86,54.6,98.6,2021-07-30
Columbia County,FL,763.05,28.8,98.6,2021-07-30
DeSoto County,FL,294.73,32.6,98.6,2021-07-30
Dixie County,FL,534.89,23.1,98.6,2021-07-30
Duval County,FL,871.10,42,98.6,2021-07-30
Escambia County,FL,512.07,37.6,98.6,2021-07-30
Flagler County,FL,583.07,48.9,98.6,2021-07-30
Franklin County,FL,602.06,35.1,98.6,2021-07-30
Gadsden County,FL,374.51,41.4,98.6,2021-07-30
Gilchrist County,FL,478.96,24.1,98.6,2021-07-30
Glades County,FL,suppressed,23.4,98.6,2021-07-30
Gulf County,FL,945.82,34.9,98.6,2021-07-30
Hamilton County,FL,471.31,25.7,98.6,2021-07-30
Hardee County,FL,467.76,26,98.6,2021-07-30
Hendry County,FL,266.53,32.2,98.6,2021-07-30
Hernando County,FL,594.58,40.1,98.6,2021-07-30
Highlands County,FL,295.61,37.9,98.6,2021-07-30
Hillsborough County,FL,489.01,43.6,98.6,2021-07-30
Holmes County,FL,479.18,21,98.6,2021-07-30
Indian River County,FL,425.83,51.5,98.6,2021-07-30
Jackson County,FL,667.90,30.3,98.6,2021-07-30
Jefferson County,FL,470.31,45.9,98.6,2021-07-30
Lafayette County,FL,558.06,25.5,98.6,2021-07-30
Lake County,FL,534.43,50.3,98.6,2021-07-30
Lee County,FL,383.61,46.9,98.6,2021-07-30
Leon County,FL,516.72,42.7,98.6,2021-07-30
Levy County,FL,505.99,31.9,98.6,2021-07-30
Liberty County,FL,658.37,24.4,98.6,2021-07-30
Madison County,FL,459.63,31.1,98.6,2021-07-30
Manatee County,FL,383.63,46.3,98.6,2021-07-30
Marion County,FL,514.25,42.4,98.6,2021-07-30
Martin County,FL,345.34,50,98.6,2021-07-30
Miami-Dade County,FL,573.59,61,98.6,2021-07-30
Monroe County,FL,332.76,59,98.6,2021-07-30
Nassau County,FL,916.22,42.2,98.6,2021-07-30
Okaloosa County,FL,387.21,39.9,98.6,2021-07-30
Okeechobee County,FL,360.46,33.1,98.6,2021-07-30
Orange County,FL,569.16,50.1,98.6,2021-07-30
Osceola County,FL,574.85,50.1,98.6,2021-07-30
Palm Beach County,FL,398.06,50.3,98.6,2021-07-30
Pasco County,FL,522.07,43,98.6,2021-07-30
Pinellas County,FL,425.13,50.5,98.6,2021-07-30
Polk County,FL,569.42,39.3,98.6,2021-07-30
Putnam County,FL,594.46,27.2,98.6,2021-07-30
St. Johns County,FL,619.63,53,98.6,2021-07-30
St. Lucie County,FL,487.67,42.2,98.6,2021-07-30
Santa Rosa County,FL,419.40,34.6,98.6,2021-07-30
Sarasota County,FL,326.69,56.2,98.6,2021-07-30
Seminole County,FL,512.90,46.3,98.6,2021-07-30
Sumter County,FL,243.17,68.5,98.6,2021-07-30
Suwannee County,FL,553.84,25.8,98.6,2021-07-30
Taylor County,FL,343.08,26,98.6,2021-07-30
Union County,FL,866.31,22.6,98.6,2021-07-30
Volusia County,FL,635.12,44.7,98.6,2021-07-30
Wakulla County,FL,610.57,31.5,98.6,2021-07-30
Walton County,FL,448.22,33.4,98.6,2021-07-30
Washington County,FL,435.76,21.7,98.6,2021-07-30
Appling County,GA,310.02,7.4,54.1,2021-07-30
Atkinson County,GA,306.18,6.4,54.1,2021-07-30
Bacon County,GA,403.08,7.1,54.1,2021-07-30
Baker County,GA,suppressed,24.3,54.1,2021-07-30
Baldwin County,GA,77.97,7.5,54.1,2021-07-30
Banks County,GA,155.97,8.6,54.1,2021-07-30
Barrow County,GA,207.83,13.4,54.1,2021-07-30
Bartow County,GA,158.72,10.1,54.1,2021-07-30
Ben Hill County,GA,251.50,6.8,54.1,2021-07-30
Berrien County,GA,463.99,12.5,54.1,2021-07-30
Bibb County,GA,287.28,17.3,54.1,2021-07-30
Bleckley County,GA,481.63,4.8,54.1,2021-07-30
Brantley County,GA,277.36,6.7,54.1,2021-07-30
Brooks County,GA,646.96,23.2,54.1,2021-07-30
Bryan County,GA,320.49,25.8,54.1,2021-07-30
Bulloch County,GA,253.74,20,54.1,2021-07-30
Burke County,GA,165.30,30.2,54.1,2021-07-30
Butts County,GA,188.48,8.8,54.1,2021-07-30
Calhoun County,GA,258.52,10.9,54.1,2021-07-30
Camden County,GA,541.47,32.9,54.1,2021-07-30
Candler County,GA,259.19,11.5,54.1,2021-07-30
Carroll County,GA,205.01,16.3,54.1,2021-07-30
Catoosa County,GA,136.13,10.7,54.1,2021-07-30
Charlton County,GA,291.22,6,54.1,2021-07-30
Chatham County,GA,254.98,36.4,54.1,2021-07-30
Chattahoochee County,GA,797.65,99.9,54.1,2021-07-30
Chattooga County,GA,157.33,7.9,54.1,2021-07-30
Cherokee County,GA,182.01,24,54.1,2021-07-30
Clarke County,GA,134.81,18.4,54.1,2021-07-30
Clay County,GA,suppressed,22.2,54.1,2021-07-30
Clayton County,GA,199.48,13.8,54.1,2021-07-30
Clinch County,GA,362.65,22.4,54.1,2021-07-30
Cobb County,GA,160.23,32.4,54.1,2021-07-30
Coffee County,GA,397.48,19.3,54.1,2021-07-30
Colquitt County,GA,322.37,12.1,54.1,2021-07-30
Columbia County,GA,230.99,20.8,54.1,2021-07-30
Cook County,GA,579.04,27.1,54.1,2021-07-30
Coweta County,GA,212.11,20.2,54.1,2021-07-30
Crawford County,GA,169.30,12.5,54.1,2021-07-30
Crisp County,GA,138.57,11.7,54.1,2021-07-30
Dade County,GA,93.08,12.9,54.1,2021-07-30
Dawson County,GA,145.55,7.3,54.1,2021-07-30
Decatur County,GA,249.96,27,54.1,2021-07-30
DeKalb County,GA,143.95,25.6,54.1,2021-07-30
Dodge County,GA,271.78,5,54.1,2021-07-30
Dooly County,GA,156.83,11.2,54.1,2021-07-30
Dougherty County,GA,198.96,14.5,54.1,2021-07-30
Douglas County,GA,224.81,21.2,54.1,2021-07-30
Early County,GA,451.42,9,54.1,2021-07-30
Echols County,GA,1023.46,9.4,54.1,2021-07-30
Effingham County,GA,250.40,16.2,54.1,2021-07-30
Elbert County,GA,93.78,12.6,54.1,2021-07-30
Emanuel County,GA,322.35,19.5,54.1,2021-07-30
Evans County,GA,647.64,14.4,54.1,2021-07-30
Fannin County,GA,160.38,15.6,54.1,2021-07-30
Fayette County,GA,166.05,27.9,54.1,2021-07-30
Floyd County,GA,81.22,10.8,54.1,2021-07-30
Forsyth County,GA,133.47,17.7,54.1,2021-07-30
Franklin County,GA,98.51,7.9,54.1,2021-07-30
Fulton County,GA,164.30,24.3,54.1,2021-07-30
Gilmer County,GA,41.44,8.5,54.1,2021-07-30
Glascock County,GA,suppressed,8.2,54.1,2021-07-30
Glynn County,GA,368.15,36.8,54.1,2021-07-30
Gordon County,GA,143.19,8.8,54.1,2021-07-30
Grady County,GA,288.23,9.3,54.1,2021-07-30
Greene County,GA,125.52,34.1,54.1,2021-07-30
Gwinnett County,GA,121.01,24.6,54.1,2021-07-30
Habersham County,GA,114.72,12.2,54.1,2021-07-30
Hall County,GA,148.21,22.6,54.1,2021-07-30
Hancock County,GA,118.25,7.2,54.1,2021-07-30
Haralson County,GA,140.98,9,54.1,2021-07-30
Harris County,GA,139.06,15.1,54.1,2021-07-30
Hart County,GA,125.93,21.3,54.1,2021-07-30
Heard County,GA,260.00,8.4,54.1,2021-07-30
Henry County,GA,251.11,14.9,54.1,2021-07-30
Houston County,GA,254.65,27,54.1,2021-07-30
Irwin County,GA,212.40,7.3,54.1,2021-07-30
Jackson County,GA,175.40,18.3,54.1,2021-07-30
Jasper County,GA,140.66,10.6,54.1,2021-07-30
Jeff Davis County,GA,436.65,5.1,54.1,2021-07-30
Jefferson County,GA,117.17,21.5,54.1,2021-07-30
Jenkins County,GA,253.57,14.2,54.1,2021-07-30
Johnson County,GA,165.92,7.4,54.1,2021-07-30
Jones County,GA,167.04,16,54.1,2021-07-30
Lamar County,GA,314.51,7.5,54.1,2021-07-30
Lanier County,GA,278.23,7,54.1,2021-07-30
Laurens County,GA,321.79,15.2,54.1,2021-07-30
Lee County,GA,310.08,9.9,54.1,2021-07-30
Liberty County,GA,291.36,31.2,54.1,2021-07-30
Lincoln County,GA,suppressed,12.9,54.1,2021-07-30
Long County,GA,352.78,3.7,54.1,2021-07-30
Lowndes County,GA,551.08,19.4,54.1,2021-07-30
Lumpkin County,GA,127.94,5.8,54.1,2021-07-30
McDuffie County,GA,201.76,11.8,54.1,2021-07-30
McIntosh County,GA,90.42,28.4,54.1,2021-07-30
Macon County,GA,suppressed,11.8,54.1,2021-07-30
Madison County,GA,157.30,15.9,54.1,2021-07-30
Marion County,GA,275.15,9.6,54.1,2021-07-30
Meriwether County,GA,165.35,17.4,54.1,2021-07-30
Miller County,GA,suppressed,10.3,54.1,2021-07-30
Mitchell County,GA,311.03,10.6,54.1,2021-07-30
Monroe County,GA,188.56,6.4,54.1,2021-07-30
Montgomery County,GA,534.23,13.6,54.1,2021-07-30
Morgan County,GA,150.45,16.8,54.1,2021-07-30
Murray County,GA,194.53,8.5,54.1,2021-07-30
Muscogee County,GA,173.16,26.1,54.1,2021-07-30
